zone_id,shape,valid_from,valid_duration_days,intensity,pollen_type
Z001,"CIRCLE(45.78201,4.87123,120)",2026-04-16,6,0.23,graminées
Z002,"CIRCLE(45.78312,4.87254,109)",2026-05-03,12,0.12,bouleau
Z003,"CIRCLE(45.78445,4.87389,51)",2026-05-19,5,0.73,chêne
Z004,"CIRCLE(45.78178,4.86891,73)",2026-04-25,4,0.42,chêne
Z005,"CIRCLE(45.78356,4.87512,146)",2026-04-06,11,0.36,aulne
Z006,"CIRCLE(45.78289,4.87034,108)",2026-05-20,7,0.99,bouleau
Z007,"CIRCLE(45.78134,4.87298,143)",2026-04-11,8,0.42,aulne
Z008,"CIRCLE(45.78423,4.87176,112)",2026-04-11,10,0.44,aulne
Z009,"CIRCLE(45.78267,4.87445,108)",2026-05-23,3,0.82,ambroisie
Z010,"CIRCLE(45.78390,4.86978,130)",2026-04-14,13,0.55,aulne
Z011,"CIRCLE(45.78156,4.87367,187)",2026-04-17,14,0.63,noisetier
Z012,"CIRCLE(45.78478,4.87231,176)",2026-04-06,3,0.87,bouleau
